"KEGG_KO","CiA","CiB","CiC","CiD","CiE","CiF","HmA","HmB","HmC","HmD","HmE","HmF","MsA","MsB","MsC","MsD","MsE","MsF","PfA","PfB","PfC","PfD","PfE","PfF","ScA","ScB","ScC","ScD","ScE","ScF","description"
"K00064",5.7e-05,0,2.1e-05,1.6e-05,4.2e-05,3.5e-05,1.8e-05,1.9e-05,1.3e-05,2.1e-05,1.9e-05,2e-05,0,1e-06,0,1.9e-05,0,0,0,1e-05,0,2e-06,5e-06,0,0,0,0,0,0,0,"E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]"
"K00065",5.7e-05,1.5e-05,1e-05,2.8e-05,5.1e-05,3.5e-05,4.8e-05,3.5e-05,2.9e-05,3.1e-05,2.6e-05,2.6e-05,1.6e-05,0.000284,8.1e-05,1e-05,0,0.000151,0.000332,0.00041,1.3e-05,0.000912,0.000873,0.000496,8e-06,0.000122,8e-06,7.3e-05,3.8e-05,2.4e-05,"kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]"
"K00066",0,7.2e-05,0,5e-06,2e-06,3e-06,2.4e-05,1e-05,1.4e-05,6e-06,1.1e-05,1e-05,0,0,0,4.7e-05,0,0,0,0,0,2e-06,6e-06,0,0,0,0,0,0,0,"algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]"
"K00067",0.000797,0.00096,0.000508,0.000562,0.000962,0.000615,0.000575,0.00049,0.000507,0.000453,0.00044,0.000533,0.000569,0.00084,0.000143,0.000963,0.000265,0.000727,6.9e-05,0.000359,0.001194,0.000489,6e-04,0.000405,0.000192,0.000199,8.4e-05,8.5e-05,0.000119,0.000106,"rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]"
"K00068",9e-06,1.1e-05,0,6.5e-05,5.3e-05,3.5e-05,5e-06,4e-06,0,9e-06,3e-06,6e-06,0,1.1e-05,7e-06,0,0,0,0,0,0,3.4e-05,6.1e-05,3e-06,0,4.4e-05,0,0,0,0,"srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]"
"K00069",0,0,0,0,0,0,2e-06,6e-06,2e-06,1e-06,5e-06,5e-06,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HPGD; 15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]"
"K00072",0,0,0,0,0,0,2.1e-05,3.2e-05,4.2e-05,2.8e-05,2.5e-05,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SPR; sepiapterin reductase [EC:1.1.1.153]"
"K00073",0,0,0,0,0,0,6e-06,1e-06,1e-06,2e-06,3e-06,4e-06,0,2e-06,4.2e-05,0,0,0,0,0,0,1e-05,6e-06,1e-05,0,0,0,0,0,0,"allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]"
"K00074",0.000153,5.3e-05,0.000249,0.000101,0.000198,0.000154,0.000797,0.00084,0.000779,0.000637,0.000731,0.000827,0.000127,0.000345,0.000132,0.000247,0,8.6e-05,7.6e-05,0.000444,0.000112,0.000323,0.000505,0.000306,2.5e-05,8.3e-05,3.1e-05,5.5e-05,2.9e-05,8e-06,"paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]"
"K00075",0.000217,0.000171,0.000363,0.000257,0.00027,0.000297,0.000485,0.000474,0.000462,0.000418,0.000425,0.000447,0.000185,0.000694,0.000167,0.000219,0.000265,0.000422,2.8e-05,0.000146,6.3e-05,0.000212,0.000247,0.000411,6.7e-05,0.000183,8.4e-05,9.1e-05,1e-04,0.000196,"murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]"
"K00076",1.1e-05,1.3e-05,1e-05,1.3e-05,2.2e-05,1.2e-05,5.6e-05,4.3e-05,4.6e-05,4.6e-05,3.2e-05,4.5e-05,0,1.3e-05,1.1e-05,0.00011,0,0,2.4e-05,0.000152,9.9e-05,9.1e-05,8.1e-05,0,2.5e-05,2.2e-05,1.5e-05,0,5e-06,8e-06,"hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]"
"K00077",0.000227,9.3e-05,0.000218,0.000122,0.000214,0.00012,0.000119,9.3e-05,1e-04,8.2e-05,6.6e-05,8.1e-05,0.000211,2.4e-05,7e-05,0.000107,0,0.000305,2e-06,0.000107,5.6e-05,0.000125,0.000224,0.000186,1e-04,8.9e-05,0.000153,8.5e-05,5.7e-05,8.2e-05,"panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]"
"K00078",4e-06,0,0,2e-06,0,0,2e-05,3e-05,3.5e-05,3.8e-05,3.7e-05,2.9e-05,0,0,0,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4e-05,"DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]"
"K00079",0,0,0,0,0,0,3.6e-05,5.5e-05,4.3e-05,7.4e-05,6.3e-05,3.9e-05,0,5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CBR1; carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]"
"K00081",0,0,0,0,0,1e-06,0,0,0,0,0,0,0.000141,0,0,0,0.000265,3e-06,1.1e-05,0,0,0,0,0,0,0,0,0,0,0,"CBR2; carbonyl reductase 2 [EC:1.1.1.184]"
"K00082",0,0,0,0,0,0,8e-06,3e-06,4e-06,3e-06,3e-06,2e-06,3e-06,0,0,6e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]"
"K00083",9e-06,0,2.1e-05,2e-06,4e-06,1.1e-05,3e-06,1e-06,1e-06,1e-06,4e-06,3e-06,0,6e-06,0,4e-06,0,0,0,0,0,0,0,0,0,5e-05,0,0,0,0,"E1.1.1.195; cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]"
"K00084",0,0,0,0,0,0,1e-06,1.2e-05,7e-06,1.3e-05,9e-06,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-"
"K00086",0,6e-06,0,0,0,0,0,0,0,6e-06,4e-06,0,0,3e-06,1.8e-05,0,0,0,4e-06,0.000389,7e-06,0.000159,0.000202,8.7e-05,7.5e-05,6.1e-05,1.5e-05,1.2e-05,4.3e-05,3.3e-05,"dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]"
"K00087",0,0,0,0,0,0,4e-06,5e-06,4e-06,3e-06,5e-06,2e-06,0,0.000268,0.000136,0,0,1.8e-05,0,1.2e-05,0,5e-06,3e-06,0.000484,0,0,0,0,0,0,"ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]"
"K00088",0.000922,0.000943,0.001026,0.000624,0.001163,0.001034,0.001468,0.001412,0.001386,0.001176,0.001296,0.001418,0.001128,0.00105,0.000323,0.000623,0.000133,0.000407,0.000462,0.000252,6.6e-05,0.000436,0.00036,0.000453,2e-04,0.00057,0.00046,0.000273,0.000334,0.000523,"IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]"
